year,gender,official_time,seconds
2005,M,2:40:10,9610.0
2005,M,2:40:20,9620.0
2005,M,2:40:33,9633.0
2006,M,2:07:14,7634.0
2006,M,2:08:21,7701.0
2006,M,2:09:56,7796.0
2006,M,2:10:55,7855.0
2006,M,2:11:02,7862.0
2006,M,2:11:32,7892.0
2006,M,2:12:45,7965.0
2006,M,2:13:26,8006.0
2006,M,2:13:47,8027.0
2006,M,2:14:12,8052.0
2006,M,2:15:23,8123.0
2006,M,2:16:09,8169.0
2006,M,2:17:02,8222.0
2006,M,2:18:26,8306.0
2006,M,2:19:29,8369.0
2006,M,2:19:37,8377.0
2006,M,2:19:40,8380.0
2006,M,2:19:57,8397.0
2006,M,2:20:10,8410.0
2006,M,2:20:11,8411.0
2006,M,2:20:45,8445.0
2006,M,2:21:12,8472.0
2006,M,2:23:17,8597.0
2006,F,2:23:38,8618.0
2006,F,2:23:48,8628.0
2006,F,2:24:11,8651.0
2006,M,2:25:06,8706.0
2006,M,2:25:16,8716.0
2006,F,2:25:28,8728.0
2006,M,2:26:24,8784.0
2006,M,2:26:37,8797.0
2006,F,2:26:52,8812.0
2006,M,2:26:56,8816.0
2006,F,2:26:58,8818.0
2006,M,2:27:00,8820.0
2006,M,2:27:17,8837.0
2006,M,2:27:20,8840.0
2006,M,2:27:52,8872.0
2006,M,2:28:29,8909.0
2006,M,2:28:38,8918.0
2006,M,2:28:48,8928.0
2006,F,2:29:38,8978.0
2006,M,2:29:42,8982.0
2006,M,2:29:51,8991.0
2006,M,2:30:01,9001.0
2006,F,2:30:06,9006.0
2006,M,2:30:13,9013.0
2006,M,2:30:15,9015.0
2006,F,2:30:16,9016.0
2006,M,2:30:49,9049.0
2006,M,2:31:09,9069.0
2006,M,2:31:24,9084.0
2006,M,2:31:35,9095.0
2006,M,2:31:42,9102.0
2006,M,2:31:42,9102.0
2006,M,2:32:06,9126.0
2006,F,2:32:16,9136.0
2006,M,2:32:19,9139.0
2006,M,2:32:31,9151.0
2006,M,2:32:46,9166.0
2006,M,2:32:57,9177.0
2006,M,2:33:14,9194.0
2006,M,2:33:19,9199.0
2006,M,2:33:24,9204.0
2006,M,2:33:37,9217.0
2006,M,2:33:38,9218.0
2006,M,2:33:44,9224.0
2006,M,2:33:48,9228.0
2006,M,2:33:57,9237.0
2006,M,2:34:03,9243.0
2006,M,2:34:07,9247.0
2006,M,2:34:17,9257.0
2006,M,2:34:27,9267.0
2006,F,2:34:40,9280.0
2006,M,2:34:54,9294.0
2006,M,2:34:56,9296.0
2006,M,2:35:09,9309.0
2006,M,2:35:25,9325.0
2006,M,2:35:27,9327.0
2006,M,2:35:45,9345.0
2006,M,2:35:57,9357.0
2006,M,2:35:59,9359.0
2006,M,2:36:00,9360.0
2006,M,2:36:08,9368.0
2006,M,2:36:18,9378.0
2006,M,2:36:22,9382.0
